<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/def/common/unit>,<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/def/grib2/parameter>,<http://metarelate.net/vocabulary/index.html#identifier>,@id,@notation,@status,dct:description,dct:references,rdf:type,rdfs:label,skos:prefLabel
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,18,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-18>,0-0-18,stable,'Snow temperature (top of snow)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow temperature (top of snow)'@en,'Snow temperature (top of snow)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,19,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-19>,0-0-19,stable,'Turbulent transfer coefficient for heat'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulent transfer coefficient for heat'@en,'Turbulent transfer coefficient for heat'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-2>,0-0-2,stable,'Potential temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Potential temperature'@en,'Potential temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m2/s>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,20,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-20>,0-0-20,stable,'Turbulent diffusion coefficient for heat'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Turbulent diffusion coefficient for heat'@en,'Turbulent diffusion coefficient for heat'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,21,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-21>,0-0-21,stable,'Apparent temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Apparent temperature'@en,'Apparent temperature'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-255>,0-0-255,stable,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,3,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-3>,0-0-3,stable,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en,'Pseudo-adiabatic potential temperature or equivalent potential temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,4,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-4>,0-0-4,stable,'Maximum temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Maximum temperature'@en,'Maximum temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,5,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-5>,0-0-5,stable,'Minimum temperature'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Minimum temperature'@en,'Minimum temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,6,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-6>,0-0-6,stable,'Dewpoint temperature'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Dewpoint temperature'@en,'Dewpoint temperature'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,7,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-7>,0-0-7,stable,'Dewpoint depression (or deficit)'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Dewpoint depression (or deficit)'@en,'Dewpoint depression (or deficit)'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K_m-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,8,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-8>,0-0-8,stable,'Lapse rate'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Lapse rate'@en,'Lapse rate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/K>,<http://codes.wmo.int/grib2/codeflag/4.1/0-0>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,9,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-0-9>,0-0-9,stable,'Temperature anomaly'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Temperature anomaly'@en,'Temperature anomaly'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,0,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-0>,0-1-0,stable,'Specific humidity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Specific humidity'@en,'Specific humidity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/percent>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,1,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-1>,0-1-1,stable,'Relative humidity'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Relative humidity'@en,'Relative humidity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,10,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-10>,0-1-10,stable,'Convective precipitation'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Convective precipitation'@en,'Convective precipitation'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/m>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,11,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-11>,0-1-11,stable,'Snow depth'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Snow depth'@en,'Snow depth'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,12,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-12>,0-1-12,stable,'Snowfall rate water equivalent'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Snowfall rate water equivalent'@en,'Snowfall rate water equivalent'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,13,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-13>,0-1-13,stable,'Water equivalent of accumulated snow depth'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Water equivalent of accumulated snow depth'@en,'Water equivalent of accumulated snow depth'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,14,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-14>,0-1-14,stable,'Convective snow'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Convective snow'@en,'Convective snow'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,15,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-15>,0-1-15,stable,'Large-scale snow'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Large-scale snow'@en,'Large-scale snow'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,16,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-16>,0-1-16,stable,'Snow melt'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow melt'@en,'Snow melt'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/d>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,17,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-17>,0-1-17,stable,'Snow age'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Snow age'@en,'Snow age'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-3>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,18,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-18>,0-1-18,stable,'Absolute humidity'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Absolute humidity'@en,'Absolute humidity'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/(Code_table_4.201)>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,19,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-19>,0-1-19,stable,'Precipitation type'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Precipitation type'@en,'Precipitation type'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,2,<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-2>,0-1-2,stable,'Humidity mixing ratio'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Humidity mixing ratio'@en,'Humidity mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_m-2>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,20,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-20>,0-1-20,stable,'Integrated liquid water'@en,"",skos:Concept|<http://codes.wmo.int/def/grib2/Parameter>,'Integrated liquid water'@en,'Integrated liquid water'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,21,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-21>,0-1-21,stable,'Condensate'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Condensate'@en,'Condensate'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,22,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-22>,0-1-22,stable,'Cloud mixing ratio'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Cloud mixing ratio'@en,'Cloud mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,23,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-23>,0-1-23,stable,'Ice water mixing ratio'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Ice water mixing ratio'@en,'Ice water mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,24,<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-24>,0-1-24,stable,'Rain mixing ratio'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Rain mixing ratio'@en,'Rain mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,25,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-25>,0-1-25,stable,'Snow mixing ratio'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Snow mixing ratio'@en,'Snow mixing ratio'@en
<http://codes.wmo.int/codeform/grib2>,"",<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,255,<http://codes.wmo.int/def/grib2/discipline>|<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-255>,0-1-255,stable,'Missing'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Missing'@en,'Missing'@en
<http://codes.wmo.int/codeform/grib2>,<http://codes.wmo.int/common/unit/kg_kg-1_s-1>,<http://codes.wmo.int/grib2/codeflag/4.1/0-1>,<http://codes.wmo.int/grib2/codeflag/0.0/0>,26,<http://codes.wmo.int/def/common/edition>|<http://codes.wmo.int/def/grib2/category>|<http://codes.wmo.int/def/grib2/parameter>|<http://codes.wmo.int/def/grib2/discipline>,<http://codes.wmo.int/grib2/codeflag/4.2/0-1-26>,0-1-26,stable,'Horizontal moisture convergence'@en,"",<http://codes.wmo.int/def/grib2/Parameter>|skos:Concept,'Horizontal moisture convergence'@en,'Horizontal moisture convergence'@en
